Month,Age,ID,Customer_ID,Name,SSN,type_of_loan,Credit_History_Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
12,29,3690,7785940,Alice,968286667,Personal,3 Years,101857.37,1110.66,2,4,12.91,4,22,2,3438.49,0,9035.94,0.81,Yes,3497.79,755.73,High_spent_Medium_value_payments,8079.83,Good
9,32,4374,7411879,Bob,438426184,Education,< 1 Year,41360.0,1569.47,4,3,12.4,4,14,3,4374.79,0,3876.09,0.59,Yes,1413.78,1769.86,High_spent_Small_value_payments,9678.56,Good
10,62,1152,6506279,Bob,326571273,Auto,1 Year,102356.25,7541.04,4,4,16.17,4,7,7,3114.04,0,9370.13,0.15,No,1006.84,143.53,High_spent_Large_value_payments,9369.38,Good
6,43,4629,8467131,David,595442973,Personal,2 Years,49624.06,6846.37,1,1,11.41,1,18,0,1118.46,2,9914.33,0.14,NM,1877.95,1459.68,High_spent_Medium_value_payments,5555.98,Standard
12,43,2981,3178981,Alice,703196613,Personal,1 Year,58978.76,8893.23,4,2,16.47,0,11,7,4449.34,4,9321.84,0.67,No,3775.09,438.24,Low_spent_Small_value_payments,6064.12,Standard
4,56,5662,2886671,David,361229429,Auto,2 Years,90183.48,9213.21,1,3,18.26,2,3,6,2587.51,0,6850.44,0.56,Yes,824.35,655.68,High_spent_Large_value_payments,8304.94,Good
5,50,4574,3066303,Eve,845158042,Auto,< 1 Year,72337.01,3137.8,3,1,8.75,2,23,2,2250.05,4,1701.82,0.02,No,3167.94,1465.53,Low_spent_Medium_value_payments,9806.59,Poor
7,63,4389,8399261,Alice,610923798,Auto,3 Years,44378.92,3490.22,4,1,13.05,1,22,2,4476.66,4,2098.15,0.82,No,931.71,841.1,High_spent_Small_value_payments,9372.89,Poor
10,42,5665,5440568,David,438683305,Auto,1 Year,34201.96,1923.37,3,1,24.32,4,15,7,1798.54,1,14880.77,0.46,NM,1974.54,178.94,High_spent_Large_value_payments,7062.57,Poor
5,42,5010,1803757,Bob,813858178,Education,< 1 Year,51435.82,4844.65,3,3,20.82,3,14,3,1840.24,4,12860.23,0.38,Yes,3690.61,1158.68,Low_spent_Large_value_payments,6803.06,Poor
5,51,9860,7954741,David,340814772,Auto,3 Years,32547.14,4109.24,2,3,12.56,1,26,3,3869.9,2,12057.31,0.01,NM,1587.29,553.5,High_spent_Small_value_payments,7167.33,Standard
4,37,9275,2878933,Charlie,294913950,Home,< 1 Year,92137.47,2316.16,3,5,13.42,0,29,0,4304.52,1,3376.52,0.17,NM,1285.49,1405.84,High_spent_Large_value_payments,5115.5,Standard
6,46,2371,8223774,Charlie,543476836,Personal,2 Years,50254.41,3640.06,4,2,11.26,2,25,3,2247.45,4,2566.71,0.7,Yes,2683.39,1065.83,High_spent_Small_value_payments,9143.76,Good
6,48,9467,5287777,Bob,256653390,Education,1 Year,70125.57,9099.63,2,1,19.63,3,8,7,3310.8,1,7078.0,0.92,NM,4326.77,614.65,High_spent_Small_value_payments,5787.64,Poor
2,69,7961,7814553,Alice,716412393,Auto,1 Year,34478.73,5009.02,3,3,7.85,3,27,3,3694.04,2,14552.64,0.1,NM,3479.81,1240.79,Low_spent_Large_value_payments,8971.2,Standard
7,51,5058,4056562,Eve,976270555,Home,2 Years,21242.57,4214.32,2,5,13.18,1,16,6,3681.57,4,7212.32,0.71,NM,1970.19,323.02,Low_spent_Medium_value_payments,9901.23,Poor
9,42,2403,6083280,David,799949992,Auto,1 Year,23101.62,7699.27,2,5,11.03,0,13,0,2375.57,4,3835.42,0.23,NM,1737.24,626.77,Low_spent_Small_value_payments,9896.69,Standard
7,20,7568,7714454,Charlie,965858851,Education,1 Year,24118.9,9177.67,1,1,10.18,3,17,9,4689.52,4,7302.66,0.08,No,4297.77,1869.55,Low_spent_Large_value_payments,6117.99,Standard
4,63,1271,6446837,Charlie,864024192,Education,3 Years,25058.37,6650.04,3,3,24.6,3,5,2,3147.52,3,1326.5,0.6,No,3311.25,376.16,Low_spent_Medium_value_payments,6794.6,Good
5,38,8727,8179989,Alice,355811457,Personal,< 1 Year,86944.66,3760.53,3,1,23.0,0,0,8,4903.53,4,5531.83,0.01,No,3879.2,979.02,High_spent_Medium_value_payments,8205.74,Standard
5,61,8230,1949169,David,683110012,Personal,2 Years,62964.76,9451.49,4,3,24.78,1,5,5,440.82,1,9307.69,0.74,No,2343.89,552.6,Low_spent_Large_value_payments,9353.96,Good
7,52,5427,8746398,Alice,869228038,Education,2 Years,23283.42,4769.21,2,5,17.39,0,27,3,2870.42,4,8752.15,0.15,NM,682.51,579.9,High_spent_Large_value_payments,6355.82,Standard
4,24,9257,6064552,Bob,416772484,Home,2 Years,105320.83,7621.06,2,2,8.52,3,13,5,3631.06,1,3495.53,0.88,Yes,914.55,931.03,High_spent_Medium_value_payments,9745.9,Good
8,40,1435,1900055,David,141173702,Home,1 Year,97274.48,7780.11,3,2,9.9,1,18,4,2538.25,4,10705.65,0.02,NM,2571.09,1518.55,Low_spent_Medium_value_payments,6477.88,Poor
10,46,8875,3540745,David,821653801,Personal,2 Years,26041.19,5368.95,4,1,7.48,3,8,1,3832.92,1,13260.64,0.43,Yes,2056.66,1338.12,High_spent_Large_value_payments,9493.46,Standard
11,41,2278,8758222,Charlie,664761345,Auto,3 Years,99307.1,3967.77,2,4,20.34,0,7,6,3172.7,3,4651.22,0.83,Yes,3332.88,1999.7,High_spent_Medium_value_payments,8332.17,Poor
6,62,4866,5625393,David,927219691,Personal,1 Year,107727.92,5468.44,2,3,12.36,1,24,8,4863.24,3,2034.99,0.64,NM,2965.32,198.84,High_spent_Large_value_payments,6909.39,Standard
7,62,6077,3751800,Bob,199451225,Auto,3 Years,117452.82,5198.34,1,4,5.19,1,26,4,4240.03,0,11311.93,0.1,Yes,4233.01,1883.45,High_spent_Medium_value_payments,7920.49,Standard
4,58,9876,8601489,Alice,660720207,Home,< 1 Year,64824.1,8209.62,2,1,9.27,4,22,8,609.26,0,14305.74,0.23,NM,2857.94,486.64,High_spent_Medium_value_payments,9085.78,Good
11,56,9628,8077659,Charlie,716794533,Education,3 Years,102360.12,6815.89,2,2,22.33,2,18,0,354.65,2,12802.68,0.39,NM,570.91,685.72,Low_spent_Small_value_payments,5483.42,Poor
11,68,8580,7849017,Eve,510539689,Personal,2 Years,102665.46,1977.29,1,5,5.04,1,23,2,4122.93,1,13572.66,0.69,Yes,4564.85,505.55,High_spent_Medium_value_payments,7880.82,Good
12,63,8752,3508098,Charlie,103433782,Personal,1 Year,43942.14,5503.7,4,5,7.32,0,1,1,4115.73,4,8559.44,0.17,NM,3927.12,1695.97,Low_spent_Small_value_payments,6491.35,Poor
12,24,8872,6637608,Charlie,181105785,Personal,2 Years,36242.12,9501.25,3,4,11.4,0,17,3,650.66,4,8727.55,0.65,NM,4726.67,1334.3,High_spent_Large_value_payments,5747.79,Poor
10,31,1156,3126906,Charlie,223681076,Personal,3 Years,60135.91,3828.99,3,4,16.28,2,27,5,2436.69,4,10700.8,0.37,Yes,2271.92,1132.1,Low_spent_Large_value_payments,6162.92,Good
11,44,4756,2199325,Charlie,257359146,Personal,2 Years,60788.28,3259.5,1,5,23.37,2,25,1,2933.28,4,4357.91,0.12,NM,1796.9,641.17,Low_spent_Small_value_payments,9228.29,Good
1,58,5565,4990915,Bob,629494088,Auto,< 1 Year,67438.6,2726.51,1,2,5.48,4,1,2,4637.34,4,14495.09,0.14,Yes,840.47,900.3,Low_spent_Small_value_payments,6388.45,Good
9,60,6340,7551986,Charlie,578758091,Personal,3 Years,81222.3,9460.06,1,5,10.72,4,1,1,1396.02,4,6738.21,0.78,No,4856.72,1659.03,High_spent_Medium_value_payments,5144.38,Poor
3,60,6653,6123864,David,212643984,Education,3 Years,27689.32,8777.6,3,1,19.11,0,6,3,4186.08,0,10314.11,0.13,NM,4029.08,826.45,Low_spent_Small_value_payments,7981.48,Good
2,22,8962,8258030,David,450707826,Home,1 Year,27009.76,5928.27,4,2,21.5,4,15,4,2007.19,2,9879.5,0.42,No,4029.55,528.5,High_spent_Medium_value_payments,5180.33,Poor
12,36,9867,9374167,Eve,331924101,Auto,1 Year,109783.43,5011.94,4,1,7.63,4,13,3,2632.49,2,12883.77,0.77,Yes,1915.65,1964.8,Low_spent_Small_value_payments,9931.48,Poor
5,34,9640,2792949,David,235408468,Personal,1 Year,42716.93,3467.17,4,1,22.06,4,28,2,4252.11,4,3179.07,0.41,NM,3366.32,541.21,Low_spent_Large_value_payments,6470.88,Good
12,42,7219,7782049,Bob,467443487,Auto,3 Years,39086.82,9458.98,1,5,19.43,0,23,2,2790.25,3,12537.03,0.94,NM,2749.17,1322.96,High_spent_Large_value_payments,8326.8,Poor
9,64,8930,6195749,David,941244231,Auto,3 Years,48382.59,4209.95,2,5,24.26,0,21,3,2787.64,3,5852.48,0.16,No,4109.62,1744.08,High_spent_Medium_value_payments,8050.82,Standard
7,38,4982,4536964,Eve,240927316,Education,< 1 Year,20405.85,4151.12,3,1,17.43,1,8,9,3002.13,4,14285.93,0.68,NM,3887.55,1465.18,Low_spent_Medium_value_payments,7923.48,Good
12,53,1899,6062910,Alice,198921216,Education,2 Years,25339.95,4749.75,3,2,22.7,4,20,9,56.21,4,1397.95,0.59,No,1185.96,502.19,Low_spent_Small_value_payments,6448.75,Poor
11,49,9345,7190879,Eve,853006107,Education,3 Years,34237.03,6363.97,3,5,15.83,3,14,4,3733.11,4,9401.64,0.23,Yes,669.35,275.44,High_spent_Large_value_payments,6475.22,Good
5,48,4771,7329916,Eve,996274147,Home,< 1 Year,40587.37,2868.29,4,5,9.85,0,25,2,2849.49,4,8039.62,0.68,Yes,820.49,1380.98,High_spent_Medium_value_payments,7314.54,Poor
9,29,7823,3222400,Charlie,932064289,Education,3 Years,65018.5,4624.47,2,5,11.45,4,0,5,2145.89,1,12538.99,0.15,Yes,2158.85,1207.93,Low_spent_Medium_value_payments,9689.25,Poor
6,30,7387,1110622,Bob,287275295,Auto,2 Years,111371.37,7682.35,1,3,24.16,1,2,2,3561.44,3,7274.02,0.58,No,694.08,172.41,High_spent_Small_value_payments,8561.31,Good
8,24,2204,3090328,Bob,970527250,Home,< 1 Year,103300.36,1737.28,1,2,3.26,4,3,1,3731.06,4,13693.56,0.03,No,2072.23,162.11,High_spent_Medium_value_payments,6281.07,Good
9,55,3118,9092914,David,282928412,Education,< 1 Year,117657.32,8157.52,2,4,12.32,2,16,1,3270.68,0,10561.76,0.74,No,4858.2,1816.79,High_spent_Large_value_payments,7654.43,Good
9,49,1593,7489830,David,981133928,Personal,2 Years,39279.63,6264.4,2,4,23.02,3,8,7,2164.54,0,8352.3,0.03,Yes,828.15,1789.85,High_spent_Medium_value_payments,8874.01,Standard
11,57,3375,8431106,Eve,430105186,Auto,< 1 Year,79652.83,7732.09,4,3,10.16,3,6,6,1767.43,3,3390.83,0.64,No,2596.24,693.58,High_spent_Small_value_payments,8978.58,Good
6,29,4970,1362118,Charlie,928960855,Home,< 1 Year,80551.84,2290.27,2,2,17.66,3,25,8,23.15,0,7629.83,0.3,NM,4487.11,1994.39,Low_spent_Large_value_payments,7011.94,Poor
6,57,8861,2335189,Eve,715828695,Personal,< 1 Year,49674.56,4875.14,2,2,20.41,0,1,5,250.66,1,5324.44,0.34,NM,3763.32,1866.28,Low_spent_Large_value_payments,6339.98,Standard
8,36,3315,7657981,Alice,589145640,Personal,3 Years,70918.02,1195.48,4,5,14.86,0,12,2,2374.63,3,4729.95,0.44,No,3835.71,764.61,High_spent_Medium_value_payments,7876.69,Poor
2,28,9797,8516269,David,665738913,Home,3 Years,52819.39,4725.21,3,1,16.88,4,7,3,3993.08,0,6641.61,0.21,NM,3176.48,1641.69,Low_spent_Medium_value_payments,9107.72,Standard
4,56,2403,5136337,Eve,383009035,Personal,< 1 Year,63033.5,8092.51,4,4,24.4,3,18,3,4576.16,1,1123.9,0.2,No,1658.81,681.59,Low_spent_Small_value_payments,9138.66,Good
6,68,5131,7919531,Bob,231349473,Home,3 Years,25574.58,4890.51,1,4,10.46,1,5,1,3193.1,1,4151.51,0.23,NM,2078.6,790.51,High_spent_Large_value_payments,9472.83,Poor
7,67,9674,8842538,David,355604415,Home,1 Year,68962.08,2112.77,1,5,14.61,1,8,4,1934.83,3,14850.93,0.6,No,4818.41,140.41,High_spent_Medium_value_payments,5151.43,Standard
1,58,9153,7230697,David,340035253,Personal,3 Years,104016.66,5843.24,3,2,20.56,3,22,4,1239.49,2,14965.2,0.25,No,1487.89,1394.79,Low_spent_Large_value_payments,5566.89,Good
7,25,1651,3587266,Alice,335710756,Education,< 1 Year,117977.36,7395.21,4,3,24.73,3,18,0,483.53,3,10851.03,0.11,No,552.94,382.97,High_spent_Large_value_payments,8789.81,Standard
9,68,5287,2678131,Bob,338401012,Education,< 1 Year,88727.84,3408.59,3,2,19.29,4,4,3,3961.81,0,6388.18,0.02,Yes,4250.73,394.27,High_spent_Small_value_payments,5938.38,Standard
11,28,9893,4316277,Alice,800678736,Education,1 Year,53809.08,3830.96,3,4,16.78,3,16,3,4496.29,3,13643.92,0.89,Yes,3140.21,1333.19,High_spent_Small_value_payments,5868.24,Poor
7,35,4407,1598314,Eve,989877963,Home,< 1 Year,117768.33,6897.29,2,4,10.27,3,28,7,2404.8,1,4281.64,0.97,NM,2858.99,388.45,Low_spent_Large_value_payments,9561.77,Standard
12,21,4111,2001912,Alice,621757989,Home,2 Years,81117.59,7694.17,4,5,17.12,3,18,0,577.71,1,12787.58,0.27,No,614.16,1462.12,High_spent_Large_value_payments,5377.53,Standard
6,50,2263,1456664,Eve,274002875,Education,3 Years,97060.64,9009.06,2,4,20.17,4,4,8,3952.56,2,3515.24,0.7,Yes,3512.35,1701.34,High_spent_Large_value_payments,9088.78,Good
8,43,9203,1976222,Eve,409871515,Home,3 Years,92393.31,5371.02,1,4,11.96,1,11,9,4047.82,2,11718.65,0.46,Yes,2354.15,220.96,High_spent_Medium_value_payments,7718.46,Poor
7,49,4876,8271797,Bob,471681593,Auto,< 1 Year,68004.11,1219.08,3,1,15.98,3,3,9,1755.96,1,8568.2,0.35,NM,4897.55,1221.94,High_spent_Medium_value_payments,5006.2,Good
1,24,4616,6314539,Eve,785833153,Home,< 1 Year,84616.68,8600.2,4,5,5.93,1,0,2,1810.43,2,7626.32,0.37,NM,4563.36,680.36,High_spent_Small_value_payments,8608.25,Poor
8,25,9622,1420249,Eve,733280064,Education,3 Years,95695.95,1158.87,2,1,14.84,0,1,6,4785.58,2,7274.46,0.11,Yes,3206.23,679.94,High_spent_Small_value_payments,9925.35,Good
9,54,4328,2849875,David,672620748,Auto,2 Years,89889.73,1493.35,3,2,20.59,4,0,1,3668.57,2,12434.24,0.89,Yes,3500.34,1291.31,Low_spent_Medium_value_payments,8728.58,Standard
4,69,1887,4611904,Bob,750694966,Education,< 1 Year,102896.57,9738.46,2,4,23.99,4,27,4,3586.35,4,13243.79,0.53,No,2306.42,524.42,High_spent_Small_value_payments,7760.95,Standard
2,62,2682,5953867,Alice,373902248,Education,1 Year,45099.34,1848.86,1,4,16.66,1,29,2,681.65,4,2496.26,0.78,Yes,671.55,1571.81,Low_spent_Large_value_payments,8178.15,Standard
12,19,3901,6016477,David,976633783,Auto,3 Years,39951.28,5568.95,2,2,22.27,4,3,4,3912.8,4,14102.39,0.82,NM,2546.97,457.34,High_spent_Small_value_payments,8070.68,Poor
11,52,3685,9943756,Bob,589158345,Education,3 Years,44858.77,1115.84,1,4,14.29,1,3,4,2362.46,3,2448.51,0.81,Yes,529.51,1249.31,Low_spent_Medium_value_payments,7286.45,Standard
7,52,7908,8637985,Bob,745172185,Personal,2 Years,62753.53,9448.77,3,4,14.15,3,25,5,3998.32,0,7989.99,0.0,No,1619.49,875.86,High_spent_Small_value_payments,8839.74,Poor
3,25,3013,8303584,Charlie,803130832,Personal,1 Year,84350.01,7349.82,4,1,14.31,1,2,2,710.81,4,2436.37,0.84,Yes,3676.56,336.35,High_spent_Medium_value_payments,6900.28,Good
4,45,1110,7735360,Charlie,779115844,Home,< 1 Year,57458.03,1002.05,2,4,15.12,4,26,1,1524.56,3,6226.86,0.66,No,3604.04,364.54,Low_spent_Large_value_payments,5430.74,Poor
9,53,6779,2604557,Charlie,962078948,Auto,3 Years,105305.7,5846.7,4,4,20.38,2,14,2,3997.78,0,3030.96,0.62,NM,1330.52,742.73,Low_spent_Large_value_payments,9155.45,Good
12,57,3753,5126190,Charlie,646266063,Home,< 1 Year,51109.91,3404.72,2,4,3.7,1,16,8,2507.09,0,7096.18,0.94,No,3846.67,704.91,Low_spent_Medium_value_payments,8034.26,Standard
6,45,2668,6147294,Bob,634183435,Education,1 Year,97832.66,2367.68,2,5,4.24,1,0,1,3065.85,2,12043.36,0.2,No,1374.51,109.33,High_spent_Small_value_payments,5673.68,Standard
8,18,8083,8996512,Eve,116776431,Auto,2 Years,57102.36,3354.4,3,3,23.53,0,16,8,1475.63,1,3156.52,0.86,Yes,2351.3,996.04,High_spent_Large_value_payments,9930.74,Standard
4,35,7972,4655964,Bob,897644260,Personal,3 Years,57548.42,4981.4,3,1,15.8,0,27,6,2327.82,4,6236.66,0.67,NM,4506.7,490.98,Low_spent_Large_value_payments,7227.63,Poor
9,37,7630,6287058,Bob,737774563,Auto,2 Years,87182.39,1110.3,4,2,21.31,3,17,6,1073.86,0,7989.58,0.32,No,907.55,339.2,High_spent_Medium_value_payments,8146.67,Poor
9,40,6222,4813469,Eve,355163055,Education,< 1 Year,42678.21,6007.08,4,5,10.96,2,5,8,3211.33,0,5976.08,0.63,No,4647.23,1526.29,High_spent_Small_value_payments,9291.14,Standard
